Taxon,Family,Habitat ,Habitat1,Habitat2,Diet,Feeding behaviour,Feeding1,Feeding2,Body size,Divetype,Regime
Berardius_arnuxii,ziphiidae,oceanic,oceanic,oceanic,generalist,suction,suction,suction,9000,deep,red
Cephalorhynchus_commersonii,delphinidae,nearshore,nearshore,nearshore,generalist,raptorial/suction,raptorial,suction,66,shallow,black
Cephalorhynchus_heavisidii,delphinidae,nearshore,nearshore,nearshore,generalist,raptorial/suction,raptorial,suction,75,shallow,black
Delphinapterus_leucas,mondontidae,nearshore/oceanic,nearshore,oceanic,fish,suction,suction,suction,1600,mid,black
Delphinus_delphis,delphinidae,nearshore/oceanic,nearshore,oceanic,fish,raptorial,raptorial,raptorial,200,mid,black
Feresa_attenuata,delphinidae,oceanic,oceanic,oceanic,generalist,raptorial,raptorial,raptorial,225,deep,black
Globicephala_melas,delphinidae,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,2300,deep,black
Grampus_griseus,delphinidae,nearshore/oceanic,nearshore,oceanic,cephalopods,suction,suction,suction,500,deep,black
Hyperoodon_ampullatus,ziphiidae,oceanic,oceanic,oceanic,generalist,suction,suction,suction,10000,deep,red
Inia_geoffrensis,iniidae,riverine,riverine,riverine,fish,raptorial,raptorial,raptorial,207,shallow,black
Kogia_breviceps,kogiidae,oceanic,oceanic,oceanic,generalist,suction,suction,suction,680,deep,green
Kogia_sima,kogiidae,oceanic,oceanic,oceanic,cephalopods,suction,suction,suction,280,deep,green
Lagenodelphis_hosei,delphinidae,oceanic,oceanic,oceanic,generalist,suction,suction,suction,210,deep,black
Lagenorhynchus_acutus,delphinidae,nearshore/oceanic,nearshore,oceanic,fish,raptorial/suction,raptorial,suction,235,mid,black
Lagenorhynchus_albirostris,delphinidae,nearshore/oceanic,nearshore,oceanic,fish,raptorial,raptorial,raptorial,350,mid,black
Lagenorhynchus_australis,delphinidae,nearshore,nearshore,nearshore,generalist,raptorial,raptorial,raptorial,115,shallow,black
Lagenorhynchus_cruciger,delphinidae,oceanic,oceanic,oceanic,generalist,unknown,unknown,unknown,94,deep,black
Lagenorhynchus_obliquidens,delphinidae,nearshore/oceanic,nearshore,oceanic,fish,raptorial,raptorial,raptorial,198,deep,black
Lagenorhynchus_obscurus,delphinidae,nearshore,nearshore,nearshore,generalist,raptorial,raptorial,raptorial,85,deep,black
Lipotes_vexillifer,lipotidae,riverine,riverine,riverine,fish,raptorial,raptorial,raptorial,167,shallow,black
Mesoplodon_bidens,ziphiidae,oceanic,oceanic,oceanic,generalist,suction,suction,suction,1500,deep,red
Mesoplodon_grayi,ziphiidae,oceanic,oceanic,oceanic,generalist,suction,suction,suction,900,deep,red
Mesoplodon_hectori,ziphiidae,oceanic,oceanic,oceanic,unknown,suction,suction,suction,500,deep,red
Mesoplodon_mirus,ziphiidae,oceanic,oceanic,oceanic,generalist,suction,suction,suction,1400,deep,blue
Monodon_monoceros,mondontidae,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,1800,deep,black
Neophocaena_phocaenoides,phocoenidae,nearshore,nearshore,nearshore,generalist,suction,suction,suction,55,shallow,black
Orcaella_brevirostris,delphinidae,riverine/nearshore,riverine,nearshore,generalist,suction,suction,suction,130,shallow,black
Orcinus_orca,delphinidae,nearshore/oceanic,nearshore,oceanic,generalist,raptorial/suction,raptorial,suction,6600,shallow,black
Peponocephala_electra,delphinidae,oceanic,oceanic,oceanic,generalist,suction,suction,suction,275,deep,black
Phocoena_dioptrica,phocoenidae,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,115,mid,black
Phocoena_phocoena,phocoenidae,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,black
Phocoena_spinipinnis,phocoenidae,nearshore,nearshore,nearshore,generalist,suction,suction,suction,105,shallow,black
Phocoenoides_dalli,phocoenidae,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,200,deep,green
Physeter_macrocephalus,physeteridae,oceanic,oceanic,oceanic,generalist,suction,suction,suction,70000,deep,red
Platanista_gangetica,platanistidae,riverine,riverine,riverine,fish,raptorial,raptorial,raptorial,110,shallow,black
Pontoporia_blainvillei,pontoporiidae,nearshore,nearshore,nearshore,fish,raptorial,raptorial,raptorial,40,shallow,black
Pseudorca_crassidens,delphinidae,nearshore/oceanic,nearshore,oceanic,generalist,raptorial/suction,raptorial,suction,2200,deep,black
Sotalia_fluviatilis,delphinidae,riverine,riverine,riverine,fish,raptorial,raptorial,raptorial,52,shallow,black
Sotalia_guianensis,delphinidae,nearshore,nearshore,nearshore,generalist,raptorial,raptorial,raptorial,40,shallow,black
Sousa_chinensis,delphinidae,nearshore,nearshore,nearshore,fish,raptorial,raptorial,raptorial,280,shallow,black
Stenella_attenuata,delphinidae,nearshore/oceanic,nearshore,oceanic,generalist,raptorial,raptorial,raptorial,119,mid,black
Stenella_coeruleoalba,delphinidae,oceanic,oceanic,oceanic,generalist,raptorial,raptorial,raptorial,156,deep,black
Stenella_longirostris,delphinidae,nearshore/oceanic,nearshore,oceanic,fish,raptorial,raptorial,raptorial,80,shallow,black
Steno_bredanensis,delphinidae,nearshore/oceanic,nearshore,oceanic,generalist,raptorial,raptorial,raptorial,150,shallow,black
Tasmacetus_shepherdi,ziphiidae,oceanic,oceanic,oceanic,generalist,suction,suction,suction,5000,deep,red
Tursiops_aduncus,delphinidae,nearshore,nearshore,nearshore,generalist,raptorial,raptorial,raptorial,230,mid,black
Tursiops_truncatus,delphinidae,nearshore/oceanic,nearshore,oceanic,generalist,raptorial,raptorial,raptorial,635,mid,black
Ziphius_cavirostris,ziphiidae,oceanic,oceanic,oceanic,cephalopods,suction,suction,suction,3500,deep,blue
