species,Focal/Nonfocal
Berardius_arnuxii,0
Cephalorhynchus_commersonii,0
Cephalorhynchus_heavisidii,0
Delphinapterus_leucas,0
Delphinus_delphis,0
Feresa_attenuata,0
Globicephala_melas,0
Grampus_griseus,0
Hyperoodon_ampullatus,0
Inia_geoffrensis,0
Kogia_breviceps,0
Kogia_sima,0
Lagenodelphis_hosei,0
Lagenorhynchus_acutus,0
Lagenorhynchus_albirostris,0
Lagenorhynchus_australis,0
Lagenorhynchus_cruciger,0
Lagenorhynchus_obliquidens,0
Lagenorhynchus_obscurus,0
Lipotes_vexillifer,0
Mesoplodon_bidens,0
Mesoplodon_grayi,0
Mesoplodon_hectori,0
Mesoplodon_mirus,1
Monodon_monoceros,0
Neophocaena_phocaenoides,0
Orcaella_brevirostris,0
Orcinus_orca,0
Peponocephala_electra,0
Phocoena_dioptrica,0
Phocoena_phocoena,0
Phocoena_spinipinnis,0
Phocoenoides_dalli,0
Physeter_macrocephalus,0
Platanista_gangetica,0
Pontoporia_blainvillei,0
Pseudorca_crassidens,0
Sotalia_fluviatilis,0
Sotalia_guianensis,0
Sousa_chinensis,0
Stenella_attenuata,0
Stenella_coeruleoalba,0
Stenella_longirostris,0
Steno_bredanensis,0
Tasmacetus_shepherdi,0
Tursiops_aduncus,0
Tursiops_truncatus,0
Ziphius_cavirostris,1
